1627,1627
5635,4008
5835,200
17375,11540
47025,29650
4241740,4194715
4312140,70400
4312553,413
4352889,40336
4382939,30050
4548532,165593
4905801,357269
4917951,12150
4955801,37850
4976134,20333
5008634,32500
7526249,2517615
7526503,254
7557007,30504
7623686,66679
7698703,75017
12273703,4575000
12277583,3880
12278683,1100
12304683,26000
12350868,46185
12358675,7807
12559245,200570
12562045,2800
12570912,8867
12573012,2100
13240012,667000
13300077,60065
13311247,11170
13317747,6500
13322268,4521
13327068,4800
13707468,380400
13708418,950
13713795,5377
13744310,30515
13745824,1514
13762924,17100
13856437,93513
13873922,17485
13900782,26860
13909572,8790
14038579,129007
15638365,1599786
15654315,15950
15670333,16018
15689413,19080
15692923,3510
15693696,773
15758696,65000
15772290,13594
15783577,11287
15869197,85620
15874236,5039
15900300,26064
15908360,8060
16419910,511550
16420675,765
16421835,1160
16433332,11497
16913332,480000
16967332,54000
16984132,16800
17142632,158500
17248662,106030
17253435,4773
17256955,3520
17258305,1350
17262520,4215
17362520,100000
19563780,2201260
19593838,30058
20030838,437000
20046968,16130
20162258,115290
20272858,110600
20396254,123396
20585494,189240
20593506,8012
24593506,4000000
24601321,7815
38534921,13933600
38635425,100504
38672015,36590
38672042,27
38673822,1780
38841726,167904
38872745,31019
38907974,35229
39010943,102969
39016029,5086
39036329,20300
39041329,5000
39043838,2509
40010188,966350
40152863,142675
40728272,575409
40775556,47284
41879523,1103967
41892633,13110
41985489,92856
42103142,117653
42132022,28880
42210210,78188
42214785,4575
42246815,32030
42340442,93627
42364049,23607
42365849,1800
42384224,18375
42423742,39518
42428842,5100
42479942,51100
42480765,823
42492140,11375
44371477,1879337
44395052,23575
44589638,194586
44591038,1400
44597906,6868
44617956,20050
44687956,70000
44993151,305195
45004163,11012
46057220,1053057
46264728,207508
46274693,9965
46300193,25500
75238193,28938000
75243259,5066
75248479,5220
75260179,11700
75269678,9499
75274443,4765
75279443,5000
77244689,1965246
77244839,150
77315839,71000
77337897,22058
77487897,150000
77488047,150
77792309,304262
77794163,1854
77807904,13741
77958662,150758
77968732,10070
78255796,287064
78256580,784
78586580,330000
78662849,76269
78689734,26885
78706268,16534
78708804,2536
78716304,7500
78742885,26581
110976625,32233740
110986805,10180
110998403,11598
111043778,45375
111043778,0
111048789,5011
111079206,30417
111158236,79030
111201033,42797
111223445,22412
111358445,135000
112165539,807094
112233691,68152
112370691,137000
113407631,1036940
113437042,29411
113961317,524275
113975217,13900
113977497,2280
113983747,6250
114245064,261317
114288425,43361
114298460,10035
114303760,5300
114303809,49
114305103,1294
114331061,25958
114339788,8727
114339948,160
114361352,21404
114388652,27300
114438152,49500
114438353,201
114601514,163161
955127632,840526118
955152584,24952
955514629,362045
955532981,18352
955533504,523
956363504,830000
956408504,45000
956427731,19227
956428298,567
956429507,1209
956430507,1000
956451745,21238
956462789,11044
956703089,240300
956703689,600
956713279,9590
956733522,20243
957029122,295600
957528457,499335
970712457,13184000
970717537,5080
970717710,173
970750728,33018
970779228,28500
970799228,20000
970810253,11025
971208292,398039
971211091,2799
971226091,15000
971231091,5000
971249768,18677
971252268,2500
971268528,16260
973080284,1811756
973129334,49050
973175134,45800
973177356,2222
973181476,4120
973226536,45060
973226536,0
973237036,10500
973241164,4128
973247384,6220
973264712,17328
973264772,60
973264832,60
973312275,47443
1020705841,47393566
1020730841,25000
1020810841,80000
1020988763,177922
1021352920,364157
1021371785,18865
1021488141,116356
1021528241,40100
1021529181,940
1021589431,60250
1021616831,27400
1021637915,21084
1021673015,35100
1021673252,237
1021682165,8913
1021683185,1020
1021687167,3982
1021722317,35150
1021797317,75000
1022059836,262519
1022123966,64130
1022131166,7200
1022131166,0
1022132691,1525
1022161841,29150
1022166891,5050
1022194691,27800
1022196681,1990
1022447039,250358
1022451039,4000
1022486039,35000
